Dataset,Label,Variable_Name,Type,Length,Variable_Number,Format,Formatl,Formatd,Informat,Informl,Informd,Number_Obs_Dataset
aactigraphy_raw_data,,RID,Num,8,1,BEST12.,12,0,BEST32.,32,0,12072900
aactigraphy_raw_data,Race/Sex group,GR,Char,2,2,,0,0,,0,0,12072900
aactigraphy_raw_data,Date recording started (usually date of ABPM) (coded as months from study entry),ST_DATE,Num,4,3,,0,0,,0,0,12072900
aactigraphy_raw_data,Time of Day (continuous over midnight) (spans multiple days),TIME,Num,4,4,TIME8.,8,0,,0,0,12072900
aactigraphy_raw_data,Activity count,WRIST_ACTIVITY,Num,3,5,3,3,0,,0,0,12072900
aactigraphy_raw_data,"Participant hit marker (0=No, 1=Yes, N=excluded minute)",MARKER,Char,1,6,,0,0,,0,0,12072900
aactigraphy_raw_data,Light level,WHITE_LIGHT,Num,8,7,8.2,8,2,,0,0,12072900
aactigraphy_raw_data,"1=Awake, 2=Sleep",SLEEP_WAKE_IND,Num,3,8,1,1,0,,0,0,12072900
aactigraphy_raw_data,"ACTIVE=Awake, REST=In bed(?), REST-S=Sleep, NaN",INTERVAL_STATUS,Char,6,9,$10.00 ,10,0,,0,0,12072900
aactigraphy_sleep_summary_stats,,RID,Num,8,1,BEST12.,12,0,BEST32.,32,0,762
aactigraphy_sleep_summary_stats,Race/Sex group,GR,Char,2,2,,0,0,,0,0,762
aactigraphy_sleep_summary_stats,"Best estimate of time participant began attempting to fall asleep (""lights out""); relatively unreliable.",BED_TIME,Num,4,3,HHMM5.,5,0,,0,0,762
aactigraphy_sleep_summary_stats,"Best estimate of time participant ""got up"" in the morning; moderately unreliable.",GET_UP_TIME,Num,4,4,HHMM5.,5,0,,0,0,762
aactigraphy_sleep_summary_stats,"The time elapsed between Bed_Time and Get_Up_Time, in seconds.",TIME_IN_BED,Num,4,5,HHMM5.,5,0,,0,0,762
aactigraphy_sleep_summary_stats,The time at the start of the Sleep Interval (the start of the first epoch in the interval).,SLEEP_START,Num,4,6,HHMM5.,5,0,,0,0,762
aactigraphy_sleep_summary_stats,The time at the end of the given Sleep Interval (the end of the last epoch in the interval).,SLEEP_END,Num,4,7,HHMM5.,5,0,,0,0,762
aactigraphy_sleep_summary_stats,"The time elapsed between the Start Time and the End Time of the given interval, in seconds.",ASSUMED_SLEEP,Num,4,8,HHMM5.,5,0,,0,0,762
aactigraphy_sleep_summary_stats,Total number of minutes scored as SLEEP during the Assumed_Sleep period.,ACTUAL_SLEEP_TIME,Num,4,9,HHMM5.,5,0,,0,0,762
aactigraphy_sleep_summary_stats,"100 ´ (Actual_Sleep_Time/Assumed_Sleep); Recommend using this as a ""Modified Sleep Efficiency"" measure",ACTUAL_SLEEP_PCT,Num,8,10,,0,0,,0,0,762
aactigraphy_sleep_summary_stats,Total number of minutes scored as WAKE during the Assumed_Sleep period; equals Wake After Sleep Onset (WASO),ACTUAL_WAKE_TIME,Num,4,11,HHMM5.,5,0,,0,0,762
aactigraphy_sleep_summary_stats,100 ´ (Actual_Wake_Time/Assumed_Sleep),ACTUAL_WAKE_PCT,Num,8,12,,0,0,,0,0,762
aactigraphy_sleep_summary_stats,Actual_Sleep_Time divided by Time_in_Bed; can be unreliable due to difficulty estimating Sleep_Latency.  Recommend that this variable NOT be used.,SLEEP_EFFICIENCY,Num,8,13,,0,0,,0,0,762
aactigraphy_sleep_summary_stats,The time elapsed between Bed_Time and Sleep_Start; subject to error due to difficulty estimating Bed_Time.  Recommend that this variable NOT be used.,SLEEP_LATENCY,Num,3,14,HHMM5.,5,0,,0,0,762
aactigraphy_sleep_summary_stats,"The total number of continuous blocks, one or more epochs in duration, with each epoch of each block scored as SLEEP, between the Sleep_Start Time and the Sleep_End Time.",SLEEP_BOUTS,Num,3,15,,0,0,,0,0,762
aactigraphy_sleep_summary_stats,"The total number of continuous blocks, one or more epochs in duration, with each epoch of each block scored as WAKE, between the Sleep_Start Time and the Sleep_End Time.",WAKE_BOUTS,Num,3,16,,0,0,,0,0,762
aactigraphy_sleep_summary_stats,=@ Sleep_Bouts /@ Assumed_Sleep,MEAN_SLEEP_BOUT_TIME,Num,8,17,TIME8.,8,0,,0,0,762
aactigraphy_sleep_summary_stats,=@ Wake_Bouts /@ Assumed_Sleep,MEAN_WAKE_BOUT_TIME,Num,8,18,TIME8.,8,0,,0,0,762
aactigraphy_sleep_summary_stats,The total number of minutes during Assumed_Sleep in which there was no movement (I think this means Activity Count=0).,IMMOBILE_MINS,Num,8,19,6.1,6,1,,0,0,762
aactigraphy_sleep_summary_stats,100 ´ (Immobile_mins/Assumed_Sleep),IMMOBILE_TIME_PCT,Num,8,20,6.1,6,1,,0,0,762
aactigraphy_sleep_summary_stats,The total number of minutes during Assumed_Sleep in which there was  movement (I think this means Activity Count >0).,MOVING_MINS,Num,8,21,6.1,6,1,,0,0,762
aactigraphy_sleep_summary_stats,100 ´ (Moving_Mins/Assumed_Sleep),MOVING_TIME_PCT,Num,8,22,6.1,6,1,,0,0,762
aactigraphy_sleep_summary_stats,"The total number of continuous blocks, one or more epochs in duration, with each epoch of each block scored as IMMOBILE, between the Sleep_Start Time and the Sleep_End Time.",NUM_IMMOBILE_PHASES,Num,3,23,,0,0,,0,0,762
aactigraphy_sleep_summary_stats,=@ Immobile_Mins /@ Num_Immobile_Phases,MEAN_LENGTH_IMMOBILITY,Num,8,24,,0,0,,0,0,762
aactigraphy_sleep_summary_stats,"Same as ""Immobile_Mins"", but restricted to Immobile bouts of >= 1 minute in duration.",ONE_MINUTE_IMMOBILITY,Num,3,25,,0,0,,0,0,762
aactigraphy_sleep_summary_stats,100 ´ (One_Minute_Immobility/Assumed_Sleep),ONE_MINUTE_IMMOBILITY_PCT,Num,8,26,6.1,6,1,,0,0,762
aactigraphy_sleep_summary_stats,The sum of all valid physical activity counts for all epochs from the Start_Start Time to the Sleep_End Time.,TOTAL_ACTIVITY_SCORE,Num,4,27,,0,0,,0,0,762
aactigraphy_sleep_summary_stats,The average of all valid physical activity counts for all epochs from the Sleep_Start Time to the Sleep_End Time divided by the Epoch Length in minutes.,MEAN_ACTIVITY_SCORE,Num,8,28,,0,0,,0,0,762
aactigraphy_sleep_summary_stats,Percentage of Assumed_Sleep time spent in Moving_Mins plus Immobile_Phases of <1 minute duration.,FRAGMENTATION_INDEX,Num,8,29,6.1,6,1,,0,0,762
aactigraphy_sleep_summary_stats,"If this equals ""N"" (n=37) then participant did not collect Actiwatch data for the full night (usually none of the night), and most of the sleep measures are set to missing; (Bed_Time=Sleep_Start and/or Get_Up_Time=Sleep_End, based on self-report).",USE_AWS_STATS,Char,1,30,,0,0,,0,0,762
