"Dataset","Label","Variable_Name","Type","Length","Variable_Number","Format","Formatl","Formatd","Informat","Informl","Informd","Number_Obs_Dataset"
"aaabtape",,"RID","Num",8,1,"BEST12.",12,0,"BEST32.",32,0,4543
"aaabtape","A/B TAPE RATING","AAB_RATE","Char",2,2,,0,0,,0,0,4543
"aaabtape","A/B TAPE REVIEW DATE","AAB_RVDT","Num",8,3,,0,0,,0,0,4543
"aachem",,"RID","Num",8,1,"BEST12.",12,0,"BEST32.",32,0,4543
"aachem","DATE COLLECTED","AL3COLDT","Num",8,2,,0,0,,0,0,4543
"aachem","DATE RECEIVED","AL3RECDT","Num",8,3,,0,0,,0,0,4543
"aachem","URIC ACID (MG/DL)","AL3URICA","Num",8,4,,0,0,,0,0,4543
"aachem","TOTAL BILIRUBIN (MG/DL)","AL3TBILI","Num",8,5,,0,0,,0,0,4543
"aachem","GLUTAMIC OXALOACETIC TRANSAMINASE (IU/L)","AL3_SGOT","Num",8,6,,0,0,,0,0,4543
"aachem","ALKALINE PHOSPHATASE (IU/L)","AL3ALKPH","Num",8,7,,0,0,,0,0,4543
"aachem","TOTAL PROTEIN (GM/DL)","AL3TPROT","Num",8,8,,0,0,,0,0,4543
"aachem","ALBUMIN (GM/DL)","AL3ALBUM","Num",8,9,,0,0,,0,0,4543
"aachem","CALCIUM (MEQ/L)","AL3CALCM","Num",8,10,,0,0,,0,0,4543
"aachem","INORGANIC PHOSPHOROUS (MG/DL)","AL3_PHOS","Num",8,11,,0,0,,0,0,4543
"aachem","GAMMA GLUTAMYL TRANFERASE (IU/L)","AL3_GGT","Num",8,12,,0,0,,0,0,4543
"aachem","CREATININE (MG/DL)","AL3CREAT","Num",8,13,,0,0,,0,0,4543
"aachem","GLUCOSE (MG/100 ML)","AL3_GLU","Num",8,14,,0,0,,0,0,4543
"aacot",,"RID","Num",8,1,"BEST12.",12,0,"BEST32.",32,0,4543
"aacot","COTININE (NG/ML)","AL2COT","Num",8,2,,0,0,,0,0,4543
"aaf01",,"RID","Num",8,1,"BEST12.",12,0,"BEST32.",32,0,4543
